Date Time,wind_all_real_time,wind_installed_capacity,elia_day_ahead,elia_hour_ahead,elia_week_ahead
17/01/2015 14,649.045,1834.7099999999996,,725.4375,
17/01/2015 15,711.3500000000001,1834.7099999999996,,839.95,
17/01/2015 16,879.5825,1834.7099999999996,,931.2675,
17/01/2015 17,951.725,1834.7099999999996,,1008.6675,
17/01/2015 18,1010.15,1834.7099999999996,,1079.6525000000001,
17/01/2015 19,1183.0775,1834.7099999999996,,1118.4075,
17/01/2015 20,1231.5325,1834.7099999999996,,1098.5525000000002,
17/01/2015 21,1238.4675000000002,1834.7099999999996,,1079.1775,
17/01/2015 22,1158.4125,1834.7099999999996,,1062.425,
17/01/2015 23,994.8900000000001,1834.7099999999996,,1032.65,
18/01/2015 00,992.0574999999999,1834.7099999999996,,829.5475,
18/01/2015 01,889.775,1834.7099999999996,,786.97,
18/01/2015 02,896.905,1834.7099999999996,,757.3924999999999,
18/01/2015 03,975.9325,1834.7099999999996,,711.0525,
18/01/2015 04,990.0,1834.7099999999996,,669.835,
18/01/2015 05,880.4925,1834.7099999999996,,623.985,
18/01/2015 06,826.1075000000001,1834.7099999999996,,571.4825000000001,
18/01/2015 07,681.2725,1834.7099999999996,,527.2525,
18/01/2015 08,657.6475,1834.7099999999996,,505.8225,
18/01/2015 09,682.2075,1834.7099999999996,,491.575,
18/01/2015 10,664.5024999999999,1834.7099999999996,,475.44000000000005,
18/01/2015 11,634.99,1834.7099999999996,,443.4375,
18/01/2015 12,521.3074999999999,1834.7099999999996,,404.885,
18/01/2015 13,468.3675,1834.7099999999996,,359.6050000000001,
18/01/2015 14,406.12749999999994,1834.7099999999996,,301.42,
18/01/2015 15,314.005,1834.7099999999996,,251.98250000000002,
18/01/2015 16,252.1625,1834.7099999999996,,224.17749999999998,
18/01/2015 17,276.96,1834.7099999999996,,219.5325,
